,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.014693139571835481,0.1117112514299122,0.024339848890743688,0.18459125577521238,0.08535668642047949,0.3778094037123996,0.03485294721053188,0.039547537414937495,0.1588746588406009,0.07674006327545871,0.059129672552006754,0.15136688832036843,0.29088537048769286,0.12199965167180289,0.12308198560596778,0.2646603862178829,0.0768500507279421,0.06909505235403678,0.1534596913742052,0.041981862815591395,0.02162519916611661,0.07600219421580255,0.12180634851613305,0.20597803304422596,0.0831489370538852,0.10512862082455163,0.01691281623528169,0.008099647477116114,0.0052112632373530286,0.005432288140900011,0.006626406434273419,0.03377396458786545,0.0,0.001962896202272613,0.0017525652892402895,0.0008025368369776818,0.008163743359058123,0.06665371659417146,0.12825970163555375,0.007093554795258329,0.01934621128173524,0.13892908389715258,0.06477195154067879,0.2886372751285834,0.10273663652189877
15,0.01541747476915916,0.12438646750163826,0.01752779652218017,0.17139573754276768,0.10598207842193574,0.3562810714386284,0.032233993430042344,0.036366621160748,0.16124776482850678,0.10778775224613042,0.057533551375241763,0.15241273015011034,0.25910635774963287,0.08824741014376415,0.11656247296228608,0.23272868227527008,0.07488763591613509,0.06302420191093994,0.12346663810531781,0.03707332319181962,0.020080145053258946,0.07307554553730933,0.09522065029850538,0.20027291027731628,0.06303865492375571,0.0973622563539683,0.015072306350103334,0.007093218143380301,0.007530925122952576,0.007447817219654294,0.00596019990644507,0.0373606782728255,0.0,0.0012875599405388508,0.0018579190254710116,0.0013297408788290085,0.00707119430307119,0.07390007406484146,0.12575687233875465,0.005805731988481122,0.0244541030416171,0.1320190958984885,0.08023858636569095,0.32628147602584473,0.08422044024517099
20,0.013096427880222505,0.10341177052039142,0.018328644904240087,0.15187102840927097,0.0923448855305099,0.40898466190553817,0.03167801433495309,0.06677813175148106,0.1335046787882256,0.09593143026730297,0.061266321500694436,0.1367768472486257,0.23082680307007505,0.0937524907886471,0.12898272157422863,0.21431610370559936,0.08458127871015012,0.060912690559652295,0.15163200095941412,0.03978750732198505,0.020374105036777147,0.07135940746634266,0.11414391059919966,0.16848492353855662,0.05226048874331277,0.08267571490874219,0.016279677727836117,0.007186508083989497,0.008992187320500597,0.007553050393000276,0.007399985167945116,0.04183846048469716,0.0,0.0024655872351856266,0.001930755236712429,0.0008531610050779341,0.008599648846526002,0.08526487774038602,0.13215648848580336,0.006214122837421091,0.023421330299349525,0.14334391946608582,0.06996362073591086,0.1441276344770615,0.08234234655957592
25,0.013399933007046614,0.08788068965674439,0.018211858713997983,0.16768422332168728,0.08848263640085048,0.3926755197015124,0.032586538455737196,0.051208193295838596,0.12553603379055014,0.0807722312895142,0.06871669831506716,0.11975634626727728,0.2397742245768267,0.08697917101764818,0.11495060994319568,0.19081794748381822,0.07523469161431524,0.06495109101598563,0.1470754929394709,0.040481852806229394,0.020637216567802617,0.07166603890491954,0.10626170794134882,0.1465576916072043,0.07383358546055088,0.07333396760971347,0.016132910721525527,0.007783867585724337,0.008058535107052926,0.013324426557506455,0.008468462614766671,0.0422721463904544,0.0,0.0019148321354852753,0.002222131557964494,0.0020631490666467426,0.00780429610235003,0.0772417635005097,0.16221948570424446,0.006662040393625636,0.0242232579723651,0.12677092639832924,0.07306499457337771,0.2820617404393891,0.08489759682464533
30,0.01126781225142293,0.11327938125733954,0.022036959919646618,0.19044486055618876,0.10340101681871611,0.32956225488518265,0.03454199903166362,0.0469482883006815,0.13083861602421806,0.11055237941025156,0.07187579583123431,0.1405118163290958,0.24461429127672266,0.08773717651769312,0.14922056844411302,0.21763053039683275,0.07260303577550037,0.07433656156491157,0.13462957896502806,0.03242807059658968,0.01633522850498073,0.0691438895094907,0.11040147604920975,0.17806700362029182,0.0856694412924917,0.07484854096668823,0.017661721987575575,0.006674219819334468,0.006116354324257188,0.011665291484768674,0.008682792465899961,0.04255035605807495,0.0,0.0019364928937981672,0.0016089402158571244,0.0021267785548291056,0.008252645347519114,0.0748638054014406,0.1816591788485953,0.005935495789894709,0.02543637008823608,0.142363705445918,0.07865914905432626,0.3302401884138083,0.08220112493918373
35,0.010986583519994719,0.07438893899314124,0.023882220908639836,0.1787548948273566,0.09719632877388003,0.3492199552483862,0.0295510510423917,0.06529841661456645,0.09048801750384687,0.11607013631380779,0.062430650554235266,0.10926868283007227,0.26547875977484037,0.09973031746108232,0.12427303966772382,0.17972611799812152,0.08002711959421631,0.07684296428460156,0.11740473746824459,0.03789490212142156,0.0199411163137461,0.06918702786522839,0.10622803500816373,0.11436232766899583,0.042589571053884084,0.0846502732653148,0.017857686193576548,0.006597499715876192,0.008929144864195562,0.008732998096132523,0.0065471086927758595,0.0362360955147018,0.0,0.002561488086201251,0.0014751694327058006,0.0006993785113852185,0.0085783872493853,0.07018191589553899,0.17140587285066552,0.004713305037594192,0.024292142656784137,0.12242109716896031,0.06894242619962601,0.13967810471619155,0.0868291795283152
40,0.01310344257787032,0.12121727095868465,0.046031123744342484,0.20020797237120672,0.11199355994259944,0.3835864948078551,0.056232841906293234,0.11166344641630618,0.1304813485516181,0.158015225026505,0.10909888653986291,0.16983048969884623,0.2630869441996512,0.09873931428362494,0.146562085728281,0.2441840981211434,0.20079281549720887,0.11513727313729138,0.2889453715309155,0.17267023282039382,0.04876303158916905,0.1119994536015774,0.2642588271178922,0.1564806196136223,0.22438572960250644,0.11163124247511565,0.02164154544647111,0.008035505176003752,0.006172267402879158,0.00867541837376783,0.008044731316695638,0.06748941672167008,0.0,0.004559364556494338,0.00309475467624975,0.002570069831400762,0.011165643852056746,0.12071580100520597,0.16555043814500336,0.005033398882184612,0.021997208231858304,0.3156978813591636,0.08533061761201723,0.34995281551239693,0.13857671859952242
45,0.01697600591887284,0.08492477844290411,0.02192071157507931,0.18847936480371272,0.09793235146148478,0.43570939005492754,0.03322516855672176,0.07804932648823537,0.13479088044649604,0.12006384299463566,0.06772088047412264,0.11747577342062955,0.23594264972389234,0.09540232885740635,0.1462669450908533,0.20182169246973988,0.08986901829750982,0.07965492208091784,0.14833493037428744,0.04938307187335969,0.018898978145523448,0.07785039877405159,0.116925998002844,0.1774878758686372,0.05570003786179139,0.071249095198228,0.02315112452215164,0.007765017105304339,0.009241785094750078,0.011426254116418764,0.005456883502984749,0.04484079753616222,0.0,0.004174648900254563,0.001710435249960621,0.0006937061533180433,0.011462559642702376,0.0847921124929746,0.14682296363981198,0.005942474077851691,0.027762885501667087,0.14437228589475712,0.0706368747508419,0.2492969431809322,0.07568356115152566
50,0.010851580951978133,0.08687555201949743,0.022966829289673793,0.18569029879156768,0.09905444747150642,0.41532105538364067,0.03429785904645425,0.09320737663366889,0.13122147744966398,0.1585560870444879,0.07364109013877147,0.13242096640289855,0.23232513939468444,0.07943326150801376,0.14809955187576648,0.20276019231331735,0.09790268749428639,0.07465952506466013,0.16370651623017385,0.05308152217493887,0.01895908757246316,0.07393374291806623,0.13791139908575184,0.15265472152511864,0.0759525309548509,0.06903825774956934,0.020259351231522633,0.006505305374468235,0.01069583784996859,0.012083012459426699,0.005173256487887623,0.03879021511330047,0.0,0.004015141352658911,0.0017439607734580404,0.0019509840695636361,0.011641261350261226,0.07043894432784505,0.16148853359200782,0.004959778689732855,0.03075196214862752,0.10966061831500518,0.07603646174042562,0.3135552108460287,0.08856772365269902
55,0.011014466696265417,0.10300280232102389,0.024835768814203178,0.20422383666037816,0.08732675516482125,0.3734294811886594,0.03365587931473456,0.05123177787361558,0.15016110380042672,0.11163783302346868,0.06873660094825004,0.13619745802710095,0.2577188396207892,0.07674170092375421,0.12471576351834202,0.31871699375397433,0.07815516105538316,0.08496932174187014,0.15120007364306845,0.03279633538014735,0.01779942297266196,0.07482105508938161,0.12057547184917476,0.1710557036407968,0.054716076778549796,0.08059256416228584,0.01554618726002239,0.006973066096626403,0.008733750113100071,0.005532791429758686,0.0031783394344267646,0.03658597605243377,0.0,0.0024794352997486832,0.0008843489328650272,0.0009185845981974404,0.010878593486858955,0.0709762933516577,0.12045995897982004,0.005231900770870804,0.020902869113135554,0.07648254806228769,0.04729191047637622,0.31369893202716487,0.0673120009387297
60,0.013169882849942643,0.11957268616343386,0.01796565444541695,0.2225023822524112,0.0858163190436754,0.4721580903476017,0.035380328854632305,0.07688721334949505,0.1243566420860155,0.14828687735387827,0.07396154060355359,0.2079013416359759,0.2320551631409247,0.09456223302825317,0.16091101346823888,0.2751645619387848,0.11453704250529881,0.08295501602428955,0.15777507893301446,0.08664358619174148,0.029994978398786433,0.0781341213134716,0.13422026521002042,0.12661511866845174,0.08837855204071252,0.08265331677890922,0.020506412376598046,0.007442110862898177,0.006086277688407035,0.007992857407110632,0.004154240578072826,0.04487689506444938,0.0,0.0023614178575740424,0.0029169894039527164,0.0007279185271114749,0.013818068331650436,0.10273847484224716,0.1546178148539509,0.004487147023908968,0.022639878225831408,0.22358710664134102,0.0873560063173787,0.3709569050105513,0.10205803920841074
All,0.013469672328959953,0.10273631635853102,0.023973963814365448,0.18035287463922828,0.09739865097465815,0.39145298217961794,0.03618888868093655,0.06740735918696021,0.13379393240785595,0.11441413523853129,0.07197861296185419,0.14002254054474572,0.24697652905266226,0.0920351454348523,0.13269110351937993,0.22292764852768454,0.09980298565166378,0.0768161224339352,0.16515774983134196,0.061731730817000924,0.024269826477756183,0.07877636648805166,0.13477214150100814,0.16430211948900228,0.08762505424382515,0.0851854666326562,0.01823548259930681,0.007389923581037151,0.007962387289533582,0.009489943529457342,0.006795129689173101,0.04465857430183306,0.0,0.002782854379329145,0.002032946261246887,0.001457503728142405,0.009463463659886144,0.08489001056226,0.1496885089141131,0.005770826944813032,0.024240271773186217,0.1609209377458086,0.0740293154122609,0.2725416518961132,0.0914251178143771
