,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.GICSSectorCode,TR.HQCountryCode
10,0.04464417904597064,0.29790436521480196,0.024228088916725107,0.1682569239834974,0.12185297384585896,0.3162824526073649,0.04644397659473968,0.21934891621336697,0.040425082952047775,0.057069594631949126,0.1598533242967892,0.30754467373360284,0.21392659376829795,0.10552492110502636,0.1741299272212589,0.058868448192621915,0.04027831882586005,0.12675816964758263,0.08856108299131048,0.05889595791850145,0.07522287724128689,0.09370370439580088,0.16146299134123815,0.09689994933998762,0.0663205694204709,0.014767669838767305,0.00039128916407197927,0.0031927115629946786,0.007530301409340182,0.046213204595499,0.014487660164046692,0.0,0.0,0.011422501489560649,0.00010415317948828084,0.016919418895165298,0.03462406605009539,0.10595257604237676,0.0,0.0025296958767991357,0.049879801811070525,0.045972343726511204,0.16808398807156022,0.11119317849257869
15,0.038437417524204494,0.31013154921185265,0.03309986639056428,0.14721328611368534,0.1244920350988429,0.2787451807163489,0.04465199818367272,0.24797003127869205,0.041724743979602845,0.04253064532707601,0.17883372566450909,0.29776458416133345,0.14006843760184173,0.11080178546511417,0.16787378386961757,0.05129804777372918,0.03533317389842868,0.10696503831424008,0.06055721386760129,0.053197103786908916,0.06186023418253544,0.07366207459322892,0.1837799919738138,0.08897852364165898,0.06869383652096585,0.015167403459004065,0.0007771752105389489,0.0037957944081584835,0.008555991606555041,0.037689733171897534,0.013972019645118131,0.0,0.0,0.01267197241652115,0.00020257183093220487,0.01802648007058698,0.019937946335802193,0.11682871954755486,0.0,0.0030891684922370933,0.03474529884457898,0.047040160159650714,0.20749804040260925,0.10557462328670471
20,0.0464367932486839,0.25351147542085645,0.031502433310902245,0.16052004888792118,0.09347668132142639,0.2923287737532453,0.046058168957689036,0.21056844882898443,0.04900646153022607,0.03265968485950544,0.15350657158158046,0.24985951403737716,0.18448227320937108,0.12228188489833376,0.16322428769875202,0.04734493837098072,0.04310482223403215,0.11323292899675029,0.05752231694063066,0.04919182117615058,0.05810153906390424,0.08085061820644075,0.15476785179702665,0.0764809133591021,0.058397459069134246,0.016084397409393113,0.0018368076457059505,0.00453963208268662,0.009904305519364588,0.046818373559145074,0.014673104580316424,0.0,0.0,0.016838696985217106,0.00018875076163256488,0.01680691827524793,0.02911583452298684,0.1197019723802511,0.0,0.0027884007434057674,0.045014208087116925,0.03482888459811612,0.0575981412335159,0.10497855078775119
25,0.04999826775953516,0.2314820294855743,0.03388763557881437,0.16335118253747452,0.10482069334918044,0.3027261920110025,0.04252352245406047,0.21046211271313753,0.042330426375017514,0.043829188892023224,0.12892820107199685,0.25539937085198466,0.14878746668380213,0.1155655456539571,0.12443595110857825,0.05262647100472055,0.04526852362159433,0.11795798980720257,0.05796046110954305,0.054472208333870224,0.06283922943844714,0.08772377397610226,0.13158027313825685,0.10071601951046352,0.0524906301262919,0.02049233180579971,0.0012722798057026243,0.004482598536903724,0.0152235302491851,0.04724450808297092,0.01508428051027823,0.0,0.0,0.01804823147602864,0.00023936295626713182,0.013495349527420455,0.02678697116746275,0.1491888386900934,0.0,0.0030096005678444163,0.04346760942572976,0.03390693175097287,0.15689306091780592,0.10892370302723253
30,0.03543102443993333,0.28483012801001206,0.04069843603324827,0.17274193798791196,0.12876903127418055,0.3029950420147822,0.04308463910837728,0.21555068690609383,0.05348477115038994,0.050206235887714556,0.16285990246895807,0.2887281862529925,0.1441152416237187,0.1366413884702338,0.14290498504241295,0.0543846528797902,0.04510990285542221,0.12400934080123945,0.0500225316556017,0.04623496815481966,0.06272638900040338,0.10775841006012676,0.16265698440401355,0.12470406911082002,0.05468166303818566,0.01759235151039683,0.0010464391913372114,0.0036825221581669974,0.014829972546695647,0.050932943200215484,0.014726116095281924,0.0,0.0,0.012795641784929548,0.0006115096312887126,0.015135581281209176,0.02256356773607006,0.16710314496581585,0.0,0.004219080482323567,0.04291934050131704,0.04808930682895801,0.21071486146066062,0.09419321933376197
35,0.04452007693815407,0.194502687677158,0.04572724427170806,0.18209018044961384,0.07996299822713945,0.27726767029926447,0.05600340001053546,0.15908028531060128,0.08218583328461362,0.04235405762807232,0.1093404536742669,0.2544020054220598,0.20817922803393374,0.11742203364575644,0.12378970235580301,0.06507914575466961,0.050139393912005045,0.12394261888328462,0.05121982533543126,0.04485321170416139,0.07818709412882574,0.10220524565520596,0.10692391704845895,0.10382537332220397,0.06780790844899647,0.017648435590558287,0.001840826437302006,0.0034220069016213154,0.010319982125746972,0.0442853257494395,0.018439816163429136,0.0,0.0,0.01837467589978037,0.00013269687232123748,0.01733348069058554,0.033369391944332256,0.16110247477992384,0.0,0.0027382599479036543,0.06856717463258263,0.029697658240496402,0.10756714424839814,0.11936402693039141
40,0.0567982834576174,0.44600055259896776,0.048289563912317035,0.21936350018102294,0.18002313566094974,0.45771103511339656,0.1421327744021143,0.23217089819926104,0.10837267769066627,0.036394035475707284,0.29667205788879747,0.28994642503520573,0.3561917507587843,0.12008042778516238,0.18508745824455933,0.0424876100768036,0.08756590160243742,0.1140346021995091,0.0647253526259337,0.09822297846883184,0.09983870141172649,0.09565589101536143,0.14242251967140615,0.3035546649255132,0.09495713345394181,0.020698112277186424,0.0014998242256039854,0.002740604528123046,0.0062006407244929234,0.017944005403636987,0.04326136574152197,0.0,0.0,0.020122416943233537,0.00019247253292815084,0.0211507721831193,0.06049227077678989,0.12121615208906558,0.0,0.0031030408786755217,0.06790618664715058,0.08675817253908528,0.14333806653789466,0.15202165580580387
45,0.05284636415254914,0.20905859411448197,0.037040386777627186,0.18958339984441458,0.08644257741791024,0.35004892482057604,0.055234501191992004,0.24067895531800396,0.06059605864115509,0.04134253178277791,0.13455685402062634,0.2918487553536095,0.19260573106214732,0.11801296582824322,0.14160144418126014,0.05339148191679401,0.05704696289221208,0.13081977650996046,0.062474378224766876,0.04867502032838204,0.06730912214485772,0.09729441640904704,0.1567684849794123,0.08325154857196876,0.05954572169577498,0.02628636893398373,0.0027964774088295847,0.00454949762890621,0.014018048600681203,0.03907746615162036,0.01818569557442571,0.0,0.0,0.015407601632435214,0.00014719534558744077,0.02274390175099373,0.035689920264056346,0.1295533525872847,0.0,0.003288423485502931,0.048825210219130194,0.04074712050378917,0.1435684166584942,0.10762248342243938
50,0.055847811014758865,0.20391215450159034,0.03780637912840371,0.17858142413162748,0.08527269351264477,0.3130507678173142,0.04474475761127362,0.221022585953453,0.08241907868670331,0.03164309360366315,0.13991383961753365,0.3022131625948663,0.16220348656034178,0.15529516137303784,0.1383648326140768,0.07014572132090388,0.056098422201628945,0.14878848578460666,0.04664989271007473,0.06302182241929276,0.08453628274119583,0.09583404144784292,0.1402493882522807,0.10790561065137795,0.0596969925865159,0.021390250410716904,0.00196109076928976,0.004799393183021074,0.012734135257997877,0.03050281437809919,0.025262715572941533,0.0,0.0,0.013654756135004073,0.00029742435184244593,0.021100887028857953,0.02957206711932192,0.1296043840744785,0.0,0.002928933974524199,0.06996993931602413,0.0407118479054491,0.16018162127187863,0.11526402614827755
55,0.04775942023679984,0.29659509443500837,0.040820624496303935,0.16857680052563714,0.08750559151529896,0.2834485519527741,0.0694897164367037,0.24779524067473793,0.07424789756516897,0.05011225435362663,0.17488537552294042,0.2743005083703405,0.1370323896943162,0.21046646122917412,0.1471756922427951,0.05456365107822572,0.04873856879782902,0.12503373718954386,0.04625920910321788,0.07967742394762477,0.07261003464383109,0.09360109641857978,0.1589956051208209,0.10106110791443777,0.0675247306110672,0.01577136146111836,0.0013710171850137576,0.00407081796804341,0.009227602280772858,0.025936074725145582,0.013572950166971506,0.0,0.0,0.008292208057701233,0.0001463263683576781,0.016688918707090477,0.018488408257255853,0.11524022736868639,0.0,0.001459743528138214,0.07294341157319657,0.04676833840325789,0.20227568024196466,0.07097412955932851
60,0.04227193449502454,0.28158424331204657,0.024918287127551363,0.2743764332698548,0.08726975559899693,0.2818798296231722,0.08297322994252923,0.16724011011063278,0.08837599953613196,0.06387535877921949,0.1314151860676624,0.4239589561337949,0.19201348754446534,0.21236979290867722,0.18087197689525547,0.05059924456092758,0.042443440856865106,0.10564061154971394,0.048741221715155075,0.08379559452185968,0.06402205482451527,0.0735213129388763,0.12134692269754982,0.04546582820772427,0.06374642452342066,0.021342977308720402,0.0012523302218095575,0.0025786622574509224,0.006239502353284381,0.02241035851288667,0.011756082894925801,0.0,0.0,0.01788022207378922,0.00010711856596534685,0.031582790649568364,0.035007555050811795,0.125865401298161,0.0,0.0028586604199444562,0.04996932798835898,0.03937627139960144,0.18336633772842487,0.10818498047783374
All,0.04791263292838605,0.2802047902380289,0.03691974745926947,0.17949860800320416,0.11190095002495244,0.3240460841166327,0.0635200782375514,0.2202905447195813,0.06366850390772254,0.04165623285539595,0.1690375330171113,0.28236135798041045,0.1956809344793182,0.12937218485616814,0.15350524717867642,0.052103787900252045,0.052079080789123086,0.11928227822824101,0.058112217743886474,0.06123402004101851,0.07075934339502772,0.08962163481360476,0.14905171634537256,0.12254685668749127,0.06542425241365532,0.019183574075035858,0.0015561908669429077,0.0039397809494750155,0.010776027111178584,0.03780719475267855,0.019811301784720837,0.0,0.0,0.015938623835313248,0.0002143079148032909,0.01848344842175272,0.03267081937624555,0.13082964654790435,0.0,0.0029771290021477076,0.05171058937013604,0.04637138834562105,0.14748542433285106,0.1118991504326385
