,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode,TR.TotalAssetsActual_lag1,TR.TotalAssetsActual_roll3_mean,TR.TotalAssetsActual_diff1,TR.F.PPENetTot_lag1,TR.F.PPENetTot_roll3_mean,TR.F.PPENetTot_diff1,TR.CO2IndirectScope2_lag1,TR.CO2IndirectScope2_roll3_mean,TR.CO2IndirectScope2_diff1,TR.F.OpExpn_lag1,TR.F.OpExpn_roll3_mean,TR.F.OpExpn_diff1,TR.CO2DirectScope1_lag1,TR.CO2DirectScope1_roll3_mean,TR.CO2DirectScope1_diff1,TR.TakebackRecyclingInitiatives_lag1,TR.TakebackRecyclingInitiatives_roll3_mean,TR.TakebackRecyclingInitiatives_diff1,TR.RenewEnergyUse_lag1,TR.RenewEnergyUse_roll3_mean,TR.RenewEnergyUse_diff1,TR.PolicyEmissions_lag1,TR.PolicyEmissions_roll3_mean,TR.PolicyEmissions_diff1,TR.PolicyEnergyEfficiency_lag1,TR.PolicyEnergyEfficiency_roll3_mean,TR.PolicyEnergyEfficiency_diff1,TR.PolicyEnvSupplyChain_lag1,TR.PolicyEnvSupplyChain_roll3_mean,TR.PolicyEnvSupplyChain_diff1,TR.PolicyFairTrade_lag1,TR.PolicyFairTrade_roll3_mean,TR.PolicyFairTrade_diff1,TR.PolicySustainablePackaging_lag1,TR.PolicySustainablePackaging_roll3_mean,TR.PolicySustainablePackaging_diff1
10,0.038502834740439904,0.04506469495556564,0.16296786047553896,0.21509156576060173,0.2821241561032343,0.17301572976864268,0.004186286782210217,0.0016459442428455925,0.00023666675509313801,0.0,0.0007271275521262411,0.0002027783145589744,0.06133877635515845,0.8248322292716135,0.12183803020815132,0.02168540542061601,0.04459996011670184,0.019117678194507024,0.10700548729340588,0.07025596981758285,0.016362134471277708,0.28413894525360295,0.16178840811684256,0.01702438863171947,0.3265108142337166,0.18321696113263575,0.04287334222990483,0.12799888929234973,0.17770646079961272,0.013341121940355853,0.008760531713704644,0.07610558335977885,0.001820953897911839,0.034480886889699844,0.03560470462841948,0.0020512302590665866,0.00023892673485404698,0.00758540304444955,0.0006702339064849787,0.002207231747170863,0.008095097741356094,0.00023784330494626773,0.00937733983170286,0.0504419696059561,0.0014542101348317333,0.0018654886776535492,0.002528818605646441,0.0002904763875801642,0.07564498846027265,0.05095491057692636,0.00013708234964700475
15,0.04196343489185139,0.029707797755661704,0.13539087097831368,0.2034780875896605,0.24062956540885927,0.16430815429002443,0.002663220026723431,0.0012241469328586852,0.0003820585038714165,0.0,0.0015235818091891003,0.000303381476788571,0.059697924272944326,0.9218887253309486,0.11449302688157631,0.021066017378356887,0.03009503879617264,0.012180396721540577,0.08957349210928695,0.046060334384704166,0.015308909821170532,0.23873641579465882,0.13004231137801167,0.013077196481535106,0.3299210888987053,0.13169275399603375,0.028223394563862175,0.12109844092653033,0.15787625632369257,0.0147004240504787,0.007711253578410162,0.05117611407436113,0.0011628696415344113,0.029205160834306118,0.03223520913116197,0.002843137067186843,0.0009044018683557288,0.008947782857771211,0.002389480115559673,0.0024386121558493874,0.00561607101039575,0.0009122446866563827,0.013234495625572234,0.06749396380061062,0.0026660462610876645,0.0015145376329748527,0.0020034635862993797,0.00023525898096501803,0.07573990967086397,0.05579906878621955,0.00026877150874509494
20,0.0374576133747697,0.03693291361098725,0.13136107299763206,0.16325458473981955,0.19830207521910906,0.15972703299810875,0.003462906727456976,0.0019017629724550266,0.0007649676789565178,0.0,0.002056524222082165,0.0003645995990728577,0.08367054566529511,0.4652052492590764,0.14900101730715867,0.029402670633768096,0.025768628513355336,0.014989849779600486,0.08362373516776127,0.028940675142784637,0.014052224827732376,0.21790391498539838,0.0924657959925243,0.01504497891617492,0.2871869775459065,0.09366536741491972,0.030724833850735486,0.10218777632280308,0.11413230844947711,0.01773550156383928,0.00902801510332856,0.08125031529639863,0.0005745309802066238,0.040062462909295854,0.05662473584633373,0.002418540095511095,0.0011934453437264436,0.0067341175886732165,0.0014919877041102863,0.0017846896915753702,0.005994563631391051,0.0005935212393928122,0.013129942069926319,0.06691044304490618,0.002456265458126517,0.0008994774180463386,0.0028116313705033595,0.0005088453774565431,0.10278944819119674,0.06814066349587777,0.0003637460878981237
25,0.03429788150798748,0.032216113796085626,0.13593508178982056,0.1730530892945836,0.19950302249314583,0.16343869488496343,0.003993035009983332,0.0023325550611089773,0.0008424690174541912,0.0,0.0023171990537407482,0.0009133027189462334,0.11248937329035748,0.8441648182020755,0.16628941727933136,0.03414815284781384,0.027042669125516432,0.015965202201500786,0.08544403261752576,0.04049238138839414,0.019211213089466737,0.22691528689580245,0.08530107658441846,0.016788913752820673,0.28753784843134944,0.09176278221080683,0.04705244428555918,0.10437204308440481,0.10466547834038739,0.013170397417490274,0.009281097221432532,0.0825072834762644,0.0008320810249794046,0.045290122877598864,0.05455704793035421,0.0032069984768824016,0.0017013583023532698,0.012792494587480273,0.002115254429796022,0.0022505967480325167,0.0076179848306786755,0.0006690700268066958,0.011364044504449241,0.05908291224011146,0.001996315694315794,0.0017724462101166383,0.007698403492044498,0.0007200147137125542,0.13690505666100683,0.0912924222634965,0.0002847042583524418
30,0.04107704538260344,0.029674024500082816,0.13728668116998013,0.16425156766045074,0.2148927264944004,0.14804660854427001,0.003281502133345133,0.001329856075549797,0.0006942728814939858,0.0,0.0014776105366966458,0.001196811535002381,0.09593354067793361,0.8412988675407296,0.11566174828186701,0.021466034094779107,0.032249639101161645,0.013644248698329609,0.09103775303978888,0.04505220482184298,0.02030996246345986,0.22769150939900834,0.10025637334593963,0.015177709813884431,0.2773993160982654,0.11261430546251795,0.04617676907718445,0.09601296707423512,0.12582249905475232,0.012254331425236588,0.008765933534934866,0.06998919786226901,0.0008605313483272524,0.039782783579593584,0.040854083707867396,0.004165969127829215,0.001552700107568962,0.018719184362228285,0.0017798547764296137,0.003809202722118981,0.012743969840410192,0.00027445013690220564,0.011577674932096277,0.06150781598441722,0.0027735122102329137,0.001774201820807806,0.0032498431101659255,0.000759049940250904,0.125173869144312,0.0944755013243041,0.00017785556720308643
35,0.04474615602888259,0.04333096296950956,0.1456817025326106,0.15159058524235547,0.27021919808636047,0.13107264062539467,0.005614089989265128,0.002384919798484027,0.0010115133337719312,0.0,0.0017013927884919314,0.00013780246316732708,0.1263307289949166,0.18884857500358124,0.12813022019374937,0.03207229599277747,0.0404242679625241,0.016475634172872677,0.1026415355523651,0.041794768362466546,0.023542059698883486,0.19802219507550925,0.0904511648484057,0.01343369025685709,0.33049263017417213,0.12855613927345733,0.04757150429047651,0.07923143448959317,0.10623281895778679,0.01851617346893678,0.007951205868904541,0.10267831120754944,0.0008369831782357291,0.044956933831833606,0.05415143355098125,0.002437972612060446,0.0013642570760850022,0.013728675265779228,0.0025242724457046864,0.0022756376914448134,0.009829501953373456,0.000642648094304699,0.006724734445908826,0.04483886320751801,0.001486781911789279,0.0006647612513673113,0.0030416490503269947,0.0007493653218619414,0.16571174955510704,0.10429016636966855,0.0003402506858378686
40,0.0678541340140309,0.1767297318900142,0.21714954619028828,0.15873083915830305,0.21207501047262686,0.1733409640179378,0.0033868823553566563,0.0024413812876481955,0.0009645769537706981,0.0,0.004166948459070635,0.0012020689968737102,0.0825750533975784,1.4543949127113753,0.2950692711573631,0.16216212930639784,0.1258628776210926,0.0288052704384386,0.1207916042706987,0.06823783819648833,0.03467854393834708,0.22919424031646454,0.11895710970127356,0.033073328282468374,0.2735408848675918,0.11165250787375511,0.04648966997962686,0.11693777610916829,0.18054151657498654,0.030266023670175304,0.007833556956164603,0.10661653605071236,0.0012236124208119235,0.024692747808699688,0.049543898666299206,0.005435093562718254,0.0022606838207234956,0.008257403662344766,0.0027953031901733066,0.00137288196916882,0.013119027143766192,0.0008414699314926049,0.023372118938434876,0.061103821863403025,0.003097741572970254,0.002495490815984622,0.022588215535516574,0.0005937397320031698,0.10654603319420439,0.10167607042500866,0.00012897910143932383
45,0.05599016888469428,0.03173030461938562,0.1696664298481695,0.19802700232168816,0.21420266020653814,0.1711510211377278,0.004851267499636982,0.0015784280296366518,0.0005104554114791245,0.0,0.0025759851083355014,0.00013321181781943437,0.10744404506872234,0.11258609259439713,0.15494870351792714,0.030018464285754,0.02708714035658413,0.021145538389983874,0.10057425417323103,0.033590445792860774,0.01788944909537143,0.2421004287481708,0.10351995679512194,0.020913269227636515,0.3043290770776077,0.09991795122845414,0.03272330486810686,0.10896928440453955,0.10732484786890936,0.018582049557634376,0.010198139049981545,0.0932124697795455,0.0009953616437428094,0.03839558416314098,0.06510004331197086,0.0023389928509376574,0.0010645086651188788,0.009003072321017857,0.002007848953162021,0.00124775904716655,0.0063029785624839196,0.0005004409168997155,0.013095351770173264,0.0746710719070092,0.001679293758316366,0.000321876432747677,0.003923958500939897,0.00015554010375462302,0.1314564583210453,0.08750621397402399,0.0003082099964740864
50,0.042901124963617206,0.0447162329728339,0.18317598104572158,0.23212077795723107,0.25547059665581157,0.1734750002174853,0.0058074255628067116,0.0022712718231677896,0.0005006089572358214,0.0,0.0013892011286000894,0.0004629700665291693,0.10180816653083993,0.23423910012845955,0.13198918094692413,0.03626503628656932,0.039054352337094166,0.018422994576668603,0.1176600290777954,0.04568240830822902,0.020608858699753638,0.2768975784738094,0.12019784221006363,0.019285495586658603,0.29443681362479995,0.1080280363884341,0.04233911418341048,0.11347631318967076,0.11333019877326503,0.02095546768489532,0.010624310456531194,0.11917923067041628,0.0017125853691734782,0.039006747314659744,0.052282332302919295,0.0030952886727066463,0.00101854761429834,0.00841518977134103,0.001992509938739897,0.0014345015907495425,0.005699790243549114,0.00033505464802538904,0.008799978615397436,0.05728829134949825,0.001561817636377656,0.0007943738378113412,0.0064319342354977665,0.00018103908896391433,0.11793902301014117,0.07456533135516583,0.00032329134528032047
55,0.03756971650528599,0.03550841091262141,0.16817027399110104,0.19065461481316465,0.2710200572486392,0.1618742296071702,0.0023141260657024805,0.0011263961348833426,0.00011945523672785454,0.0,0.0017118490751675114,0.0002562454540207005,0.0708611437213401,0.3032829530911626,0.16481908179425198,0.03060317480307001,0.05386738299901138,0.028017300180127783,0.11005825351483564,0.05132998206056953,0.01727995071362432,0.26777010955986713,0.13386149119833785,0.01836283453664649,0.36267387405185464,0.17476838421236543,0.03879269154474934,0.11446656201610488,0.13828880174278926,0.02156027869385154,0.01018709139715841,0.058961761562559376,0.0003609709809041463,0.021014927837470825,0.024462067195948838,0.002472994848826879,0.00035827881253328676,0.003767912877586782,0.0005420839123440918,0.0014125941639699427,0.004701634515620085,0.0002194891812017587,0.007976431870730131,0.04574561391802461,0.002138599209803281,0.0004947009313660362,0.0026471163678362156,0.00028698668325019533,0.08358074820965763,0.07148615782429509,0.0001547862787582459
60,0.040260846002720806,0.0368253614950594,0.2812964775561355,0.14464869591380344,0.41723965621720954,0.1506278837079689,0.0030313260505840777,0.002204167263385883,0.0008796711849649385,0.0,0.003190436218272058,0.00027175067129241745,0.07119625847904347,0.8317269707870643,0.1476762437475905,0.027824878951551835,0.03059150556652714,0.026300661730883437,0.16004415483155704,0.05685177452809668,0.02407940006867228,0.23194883376003467,0.0934170526990918,0.021086396330940234,0.45803916542413564,0.12049478498480394,0.057241188459917394,0.07896448458837889,0.11812603138327336,0.03247782567216728,0.007716945692920313,0.08304836558906119,0.000983637868020498,0.01717487817850182,0.042989281400879535,0.0019778453659967964,0.0017115182293415598,0.00881287791580854,0.004177357311221465,0.0016901117604636866,0.011901576417732195,0.0004273208854883344,0.009658293704842974,0.04109919102521553,0.002301865659717653,0.0010147267565439012,0.00529022787846774,0.00013071405755452252,0.09552196071884048,0.07449282344928182,0.00019655701811280863
All,0.04491383869571476,0.05347562933982017,0.16198021647116778,0.178626878642247,0.23363086152130574,0.1618121474653088,0.003791346953495068,0.001876984948900567,0.0006747788298191321,0.0,0.00222084827028587,0.0005347105677062139,0.08901049701664411,0.6682637085878769,0.16015895185815102,0.04566969853994375,0.04389792226083969,0.01859205429722818,0.10081297040942744,0.04469108530170649,0.020048672206880818,0.23384978963011893,0.10762984843329704,0.018563320049566494,0.3082549061604709,0.11383368237162973,0.03933831553626201,0.10649865627639277,0.13026169741132818,0.019161810475429027,0.008844642782113131,0.08404047561839315,0.0009714754684031608,0.03514147977622823,0.048775285658860544,0.0030850669334139065,0.001315162117616645,0.009567377013476496,0.0020842976024662545,0.0019640332351366454,0.008085513008829436,0.0005928326008099548,0.01291870626206302,0.061055822911858126,0.002284066600011077,0.0012718254159410588,0.006247064644734758,0.00044578413653038873,0.11115539956897148,0.08000744773216834,0.0002649878284923812
